block_id	hash	time	size	is_overwintered	version	version_group_id	expiry_height	lock_time	is_coinbase	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	cdd_total	shielded_value_delta	join_split_raw	shielded_input_raw	shielded_output_raw	binding_signature
2062124	3ee84edbc0857c578b71cb01e60e5073e8e8afb2f7afe7b1a7d853d4b6dc3a33	2023-04-23 21:35:28	210	1	4	892f2085	0	0	0	1	1	33248	0.0126	33063	0.0125	185	0.0001	880.9524	0.0003	0.0000054990037037036995	0	[]	[]	[]	\N
2062125	34138b849739983bfdf240ee117d3d46b2872b5d00bad899303bf3fec740688c	2023-04-23 21:36:59	205	1	4	892f2085	2062125	0	1	1	4	0	0	312502450	118.0947	0	0	0	0	0	0	[]	[]	[]	\N
2062125	a50b2e29063f1425fd3e44bc5f6caebe6d0926e743047beec39fb2c05071e671	2023-04-23 21:36:59	245	1	4	892f2085	0	0	0	1	2	112678693	42.5813	112676243	42.5804	2450	0.0009	10000	0.0038	9.0716520247007	0	[]	[]	[]	\N
2062126	c790c5738dfc5294dbea3ab0ab247d7adbad3b7b0efaa6846ec4725aa519dce6	2023-04-23 21:37:35	205	1	4	892f2085	2062126	0	1	1	4	0	0	312501000	118.0941	0	0	0	0	0	0	[]	[]	[]	\N
2062126	6032cbe0c24a77491b9bc68160107c4c626e2d6ed707f9040043119d32982831	2023-04-23 21:37:35	1287349	1	5	26a7270a	2078239	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0	[]	[]	[]	\N
2062127	539c6fd500cb16e3e2962e8c57866aa67dc3fd34f8c9e86770d3c40be253657f	2023-04-23 21:38:06	241	1	4	892f2085	2062127	689081872	1	1	4	0	0	312500000	118.0938	0	0	0	0	0	0	[]	[]	[]	\N
2062128	ef36c97a31e7cbd92237968c62412b0054121931d6e7779db89b5ec97ed57159	2023-04-23 21:43:42	205	1	4	892f2085	2062128	0	1	1	4	0	0	312511635	118.0982	0	0	0	0	0	0	[]	[]	[]	\N
2062128	310941d062056590b36222d9e2f51cc14b4284551f8339f26cab6d886a0aae3f	2023-04-23 21:43:42	1192	1	5	26a7270a	2062168	0	0	1	0	28378203557	10724.123	\N	\N	1000	0.0004	838.92615	0.0003	4.1154964186251	28378202557	[]	[]	[{"cv": "a84329f9648b8c1cc9790fcdd53c53667dfa1a6be055d4fa2534fabfd2ceabd2", "cmu": "05585ff1dfb1421a4bceb919c69818202451e49fd4b2d5e61a1733a3b63c1cf9", "proof": "895f4a265665c8acf2407f81a1570d729f871eb234fe50ab9a408a58bc35844a7155dc48ef72e85c13d1a2427e0ca37aa56324171df4fce39910937cb586fba8691171fd576fe51cb1e8438506d6d9159da73d67c1228a425cf156c377658fd6106929f75aedfad2ba590e04fcac23cf64fe8209523866ecbd5a566e90f39359332655af654e54bd0aec24de98a9fbf8929a68de913d509a87e2b872988173f91d229b5f78ad4a0ffbd912717e2830982e0b5d191a51436744a01cc207f2258c", "ephemeralKey": "bf74256621c61503b87605cb801b437fe1299eb33750bd37ee786349c560d680", "encCiphertext": "6d8928e444afd9ebae07a71ec627d34566b526cc8b19db704de12aaff532792b315518e35264448de175136824457456741673a76c088aab16d524e256ca58e4a78b07cda69f80bb8d062e77323275f5f102dad103eb312fbb94f4259be96fdecb67920f834212b4f35ff007f4c22c1fa0aeb4b87e3e4421578ccccc54909d57d880ff4beb7d0f487363b1e98419765b1c968d4f09f7638e842d0520548d486c5602de55cc452f20703b5c2fafbfbbfa45e7d276625b06c7e33ba1aa504a834b3e62ad848b75f2a13cb8c0d300a838d69e3f249c1554b25270a920fa480f2ac52302aea693b6b75436336714517cd96f9f4e4f91b68dc3ea8fd7e8e31d1a92d48c8a2c71fa2ad79418a4fcafe5432766fb79a2b14a8f76c1fac143b9546475b5d9b45b3185e5493829cf472e116e333a15b75d64ce9fb6fad27afbc97cfcf9857f2d0ee088102a7df938f6b290b1f6da570534a9eddfdf7a24f9f00acbf077086d9137ec8cd6b1d71e4d698ecb5270cc814d23ded9056023dbc9b856262d4db0e68b493efee77d73c8a699090d5a8ecbfe90052270ba12a8de9aa65f60c86394f34c3e1ee134270ae4a90631d5b76f7f4fd493383d3ee7446ac8e2c3c75a69cea45d444531f32bc63beddecbf56bd00b1bf20f0a71b5ed65a900272c3d6ea1abd93b35653e42bc1df4ce02f9529d474f8b9ae790e6c9506b15033faeee21193e81e404eceaaac2d023fb4cd4461d2f3093f32c76c80ac7c59a77b9aeebbc2d9934c2e16a730a955293ce0f61fefde567854db132aa12969fb22210a2ea09b61e5cf66d62", "outCiphertext": "d6016b81d886ff41ab6bc9bdca60fca55da5ec53641ce46ae8a71d8bf5981281752210c146c67cdd42714279fad81d785714017b3b62bd2348ebcb83d82208162477fdd6e049a48f938eb3844713810e"}]	90d38ada08478732cc6f7ec2a5efb09833fe7780fd74a8b72551becd5d1e795381d827f981cc28fe83020babafbba9705b244e3e8592a18493a6e0ac6af3b008
2062128	029b0ded72b3917394d8f0ed47762cbf1fa1dee4339a1f6b72d1fa613023a781	2023-04-23 21:43:42	1463	1	5	26a7270a	2062168	0	0	0	1	\N	\N	6100000000	2305.1899	1000	0.0004	683.527	0.0003	0	-6100001000	[]	[{"cv": "1ce2f09fbea31a7305e9b0528df47cde3d24a942fc50a0dd7aa18c86b19fa25e", "rk": "2a4b7f9e7aab4cd05da4278da004705615acde755feef02b5a53ce9df4d80caf", "proof": "ab136e3dc901ce1eb8ec4b175170888ff71496af05add297d58f0cd9f4543919719b785b054951d9af923c492446b1c18e58485ff54892895efe2b6969fc8e25b2bffd3f1b9b26d39d4d87b4fd5faeac179593b4bc697e497d7f0f21edada96b160b42cf15689e0b780ac3c6fed80061a1dd75534f169cb4a3d2af9e5c07a231b0a2dc1db79406848d372a72735aa4088beb0fc5de1222591dcdf3ac06b9e30d19629bc5ce98fd64c5947384b1c4762ed6a2fb867d4ba618f1a2c99226ad384e", "anchor": "5339f06be203fcc9dd697a60282f11e97403384e28b5a8a5dec0772b1b1e1da5", "nullifier": "35a7c2a6859192ca7ccc64919ff40710b61d77aaba70bdae472de45f60097efd", "spendAuthSig": "ec046d874beca5e160168ca8f015e05083e4d035fa15d1025094c4ed2a9b80edcaf4db65f8a447877ef8989effc401847057eb25a0ebea290cc73fd11b13fa01"}]	[{"cv": "bd3635b2a5afe47e8a0ab5d14e28e78d789da0b1ce2d28eaec6b6b1ce5d93381", "cmu": "73710479b84f04f5e4a02f0771e7323770de4eedca0408a508119b4d18114d09", "proof": "8e0b0ec7e7743838a7640ed515a168a92350d9bd2d9e05fd4ecc63d32fd2f9724f7a29667b3c2c2c470b4966b9540aefaf9cda15f22b490af92c33698fbfe48716b17ea9a27cae902227389e7d58f29fe7cc20904c509b11b085bb62c5de65c00fb1063064670f242724ac1ff7814c8bdfe2afa6cd58cab7686736559e3ca24ebcf5f4d66c17c9d20cfcc6b3f98eb9a18947627a61475d4e633f97605b8fb70e3e54962d59eda604a1764b05bb9766eb459e1d45ae839afce6fa11dac4de8fc3", "ephemeralKey": "4bd3a07a8db973072c0c86fdf7524a480b35356c37dcfc98ceb4480ae58877ad", "encCiphertext": "90891954cd01ca26fb805f393a8a6036e39d08c1ac056c5f7c6959ec8c4838e285ee21a375ab7d34f979a01cbdce3b959eef7b61ecb21526163eb63f2623bbd2ac16abc5b894f291fa637391a6f44b5b290acd658a862c3c33451a752d3c23ecc9b06130c8ee5353684d9de3569e09dd44ba18252fab80d634f9857af41eaa563b502c3b2bbf535bd41a103ce9728a6e56afc22f9b691dcb919ca2eff1789da66de36fe9abdc257fd4784100948cddde317c2bad5926dc9f8aaf653d0f9f47b3da4ac904c94a8f9ea2404f06058e13eccaa1f07a1604be5a922333cc72f1d0c794f7b9d802ebb7d75c86ed6ce5607598e405fc17b0123a3703e12968ba9c2eefc0464653be570a251f85f1f9e25408ba7259ca97d8f4ef84e74241303985edfac59d34ffe0dd1bb620e76bb4b03fcd0db57921bf159963ebd9e94fb392d7f676c4105762b2a51a3e1c620a9b71080773d771e168ba8ba1dd31ffb6b826cf58775ad4bf5154a9ee8836b5e667d29698e3e4139447c99936660f85fc4e5e97aa69b3dd10566c83ec7c6303713af553dd3851316d310ca63a6f3e02105b2b808bee38e6274ef7dde4887808bab48628524da905f39f78a2f77fc190fa9a9694f3d3b29cd8a3912bfb9729b4238bf878309d6d1386d864a7659b164f693339ddac48c6a379b2f0431c34b3066193b3890a523737e3f31550a969c53314c20af7b684c7ea0de7f4a9fb1e4293315da01d96f5bd6ddb0f3a92b7d534dbcb66166b41b8c23a2b7cabf231cfba753d6a424946d8deef9c41f17e6a9572c98b0485b1667a5632ffb7", "outCiphertext": "744ebad4cd66d28b6e4fc397c8660d5c3c095d91f3aa91d58b1ffcae1f82c0ecab6c43db25d10dab5673c0b840d56e88b5791ac3e7694604cc94e4c4ae89034917b135dedaa4cd3e3841a79760f000a6"}]	3ee4e4822770c522086247dce9c9da489cf09b9901bbe5c1ac394d2dea344f03c007f536215940b22065906d88a090a319f670ce24e46c315a21a4a318e63709
2062128	b92fa335d401c6c2c13e6c9ba87654175e16d735ee97606057170c8989f3e964	2023-04-23 21:43:42	9312	1	5	26a7270a	2062168	0	0	1	0	17150416000	6481.1426	\N	\N	17150416000	6481.1426	1841754200	695.999	1.7348916185185002	0	[]	[]	[]	\N
2062128	3f1d66b3c38a98aaa491b984b88efa711c61e05d76b4c023b01c203d492b941c	2023-04-23 21:43:42	1336	1	4	892f2085	2062168	0	0	2	0	500005384	188.952	\N	\N	1000	0.0004	748.503	0.0003	1.7152276563028002	500004384	[]	[]	[{"cv": "a410dedbfbd3f5a26dc2df1c7cf117d72173d88997a0ab459c04108d8d2b8f6f", "cmu": "0c80e0874336c6c218e5c733b54842e889efe475b454025410e1f1920cda0f7f", "proof": "83738292fdd1855965fcab5e4d1e83fd1f88ee3cac82a96336a8f31c497b72bb52882a19c50eb3fb51d0c31b59a2458f860839cac98b5b7420e67bd7786c4b7666243d9420d9fe0f3daf57a4c24d062d2fb9fa430102bb305c57f684e143105803d9a418dbbf8f9df57d1d6132b62ab22636adb247cfd1cda74a7cffd9651bbf0b05973a4dff547377e2c11d54bb2448a33780eb96a49831ce2b81bb03300ed419b6b3f0466728dcb181c106aa9a6b2369bf6ed0dcfbf20256ed91bfa481811a", "ephemeralKey": "8c232b935b9bb83e04431682561480db7b9570f6cc953d9b3b88ec32cf9ee703", "encCiphertext": "ccbc3463ccd0d536681445df7d82f68e62266c9497425354a3c639cbc142a655e501819fe7adef11979a33d0a9bcb3f79c94a8a9234262dd9125e1f1491c93e7a8100af055cf58a61b832dbe79e858ae94904b4c5a5cfe4c548aea17fc96441b22722c39082ce5234c8ec81f201251cc78b4c1160faa92c97cfe4aa669842895031afce197ec2695eef5f86a9a3023db61598b9012aa7aaeeec706979cca97b68fc8a177225f83c50771fea86fbd559ebee57fed648a1b2c4dbd61d5eb7958e671b99cab160db28d6c69f5e6935a1882aa651b4cca6f49302c0ebe4ab14f8dc5c1af80cf0cc807ea3496723f9f889e7baf932647378a9165aabfc5cc066efc044a6fa76c13e24864b177d9f5f57149f09cda97727973cdd7a182a6cc24d77a036a532946b499e3fa62b3d2891d1361d22afc705be41dd5ce8c048e6b2d5e09187acad4e0c8dfc0ca6dd33d2a086173a58dbc1650bdb026bd134e8e38c9b7f0b10fcc70e9bb2a33cfdb2bebc990b1b306d3195eae30440e104181fd0bfff1ac68cb62008622026b8cd0980525ac82540fc4fdd212c1af70a11d57a7d87c729d6a71d7d04699d8505852cbbbfd6427bbff7eef25c7481f96d1c318d6b38b45842a120bffcc8426676bb2531c265c091effbbafd10d8583c41262fd7b8631700860dc681e50a48839f97433cd71c14f196ae27eacb513f2659fba8133d33cd2b07e27f5424885cd10fea924dc6c518aa8537df6fa5c79728c48e66c32201e041d63777eaf460045701cc606f18240dd61221b96661735e4489bb827b330b97fdfb0fd9fc321", "outCiphertext": "953b1885f761263cd0662af50746149f8f2f3027731c1f25e19bdeb1a464e9a40015a783a4d7e46d99dea880c0863ecb4764970a1aa29634f07f119c0b6735f87442360f4fb8df62a2cffa5f8678d57f"}]	28f3624204dcd7de5dcd947e66c982cbeb04cdedfbda0dcdbe33e0a1cb84573b2d3e3e86f34083d1313226f19a6777b468f50a4c5ba206da6db3eaa2d63de809
2062128	c97c7162320325bba59c1a26575773f8cb672e64e722f1c7209d932afe5cd8f2	2023-04-23 21:43:42	9313	1	5	26a7270a	2062168	0	0	1	0	275000000	103.9225	\N	\N	275000000	103.9225	29528616	11.1589	0.069609375	0	[]	[]	[]	\N
2062128	e60fb6f58a90dac43f86360a485282e9b058443d00a08a61621dbff336fc06c7	2023-04-23 21:43:42	1463	1	5	26a7270a	2062168	0	0	0	1	\N	\N	1832041	0.6923	1000	0.0004	683.527	0.0003	0	-1833041	[]	[{"cv": "261fe77bcac7d6a86fb9fc2e0b7870049e6073648cb9db3b1ac1072a66266772", "rk": "1b1abe3252fdae16f319160b7cab9d53b249f90d3d168e5990574fa1ca968030", "proof": "8e5d9925a9e3e160f143df6841be42168f37dfff15b6dbd6b7c6e751506a409ae2ddfd378f7968bd7aa4e7d1324c25aba7494cbff120ed8a76b48dff00d4705aee85a1d0f91b6bacf1d300da760ea40a12415302559d64b2f012ef968e54dbae1903419adb152baab943390b4aacf28d725b2700277955cd9b4263d3f673feb57ac5542d269cb3070e001737f01408c3828cd054ce2677c5c11782a474ed949ab6123d3e9af082e793d60311dcd4121f48c5241964f4351f3114385fcd80036f", "anchor": "5339f06be203fcc9dd697a60282f11e97403384e28b5a8a5dec0772b1b1e1da5", "nullifier": "6199658457c8e90a2953af774c63fac004a28c3d9f5f7a94da19b31f1c824894", "spendAuthSig": "5b6539d78684d23578a2de09143e39c4e1c86bb4066c1a3b89231608f2b4691dedd11f8527a3aeb55eb6072e6ce5e9d4bc903410e0085a886c736954c2deca0c"}]	[{"cv": "9fb1e9ccf2842e8c7f274ab898d9e877b3040e862c9896a2137c9914f072cbb6", "cmu": "0f598b3be65a1c2fa0e9e424d602cf27a999d0fe72eeeb5507444e34ff28f1ff", "proof": "b69d478a6242c7428bc2721c8e9c97af5cf322ad9c068222ba2589217d1e461b7554ce25762ba7049cc99f50ca83335e89d82a33fca0ec28764a644e8d5149bf0a791a6c15bb876bbf33f417a65ba2c2e8c770318369b97cc2c8fe991666813215a7d93aa8433f727f74b891788fcaf4670566d2055ecfdddf72efe1d08c7ac8e1245fa341a00c624fee21439fbbb580a44843a6d93afb2a6915add68f011b434491f0c26b987a6f515d8503138709749189044b553bee461e13364c27f73995", "ephemeralKey": "2e5656ea36cf7289d827327ee65a3bf0b2a7a22c5e185bb93509324b96b66cea", "encCiphertext": "ef53dc2806a6e52e58e55dde0be23bf1da12496e1bd6f034ae013de72b008e346193a30b59ec86c08a0e6bc673f3da43afbc1aadb16fc7b58c40d866eb6b07eaa03172693868593e5530a819fa781f680fb0212e6204948a706a084aedb55b33c65d918ea869e7ddf4551b3a81f9b03214040f98688ca41c96ce6282f40202eb481396962ed7ae9eb7191806537a604bcb38177e97a6e08cc33589cfac78e3be2a79a6593949d47eb93f864e229d913180ebd3fe751972317dbd72f714a898e160a5af842e752c71747427bf168bf3ec93a2cc5f3427313b207b30f0658e2b2404ae609908b2a53a6e18e76cdde78a249428745f1c8784167e5614d3e7f70590583848e434a69748cb2c524c56767bf52db0eda52106aba7e461e3b2a1c7ef230d361622c86950c4ce8df790cfd357b6d63f45132634f713996c3624b4f08e4a2b7102a1d4c4a277e5ef244ae7964f75b53be3680376a7db28104d5c00a853109f2e8cf755ab3c431e6d84ba0ba2b00e884c04f5ee4856fabafd8b3371b03f200c70636b354ddfa8b49a4b3f974e1ca7fd14ea94a27a3eb595e6130d5cf7ea8e0ce1fdef4cfd3271ccdb3e3e1dc31f50ecf7c5c7f394d5225a2eeb2f809a73cc70f9a61fb585112b95c7c199f48480c1c6f88c9c04ce3f135bc7e726bb5d2f4b2eb338339cb07d10c8fe076c8fa6c6522f537d9ada1751d38d768b861376752c9d68d000c418bcbc7e23db90d6e446e02e9791fadc5d117c64042dd8aa7a58998dc66a585b5f574f7331baa8f4d69da4b401fb9b2b11a2ed82b9dcf88c5ca9ba2698316d", "outCiphertext": "3ac3fa2bda6fb376a86540f8682fb154d9912d3cad734bd623e63f514d7557b566ab949b00e6443ee09fb46687ef7955cb169addd04e3eeb1002f2796af132db8b6b5932bcfdec2c0e8e428ebf5642bc"}]	a2a20dc8a6ed9d797f75f0d618f66030cd89214fa9a3bba5c64ed1346de8dce95b7dbf277e0cd47ebd2127bdf1137d894f61615d300e8a59248a8a96b10bc605
2062128	2036d41ede633c9330d8ff6d0f0d418376fc1924280a50daafc123c9da988f77	2023-04-23 21:43:42	65973	1	5	26a7270a	2078256	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0	[]	[]	[]	\N
2062128	5afe4bf820c9d967ac20119984c613136992691cdbdeeaf373a5d391063e0894	2023-04-23 21:43:42	346859	1	5	26a7270a	2078254	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0	[]	[]	[]	\N
2062128	1100e1a631343d6cc9df1082148552d19993c5216797351515e23c619152aacb	2023-04-23 21:43:42	1325221	1	5	26a7270a	2078234	0	0	0	0	\N	\N	\N	\N	0	0	0	0	0	0	[]	[]	[]	\N
2062128	18f3963052605bb2b9c6cd1825b74f2b8df5a00871a4207789684e3ad014b931	2023-04-23 21:43:42	357	1	4	892f2085	2062168	0	0	2	1	1354125589	511.7241	1354124589	511.7237	1000	0.0004	2801.1204	0.0011	0.10930466526262	0	[]	[]	[]	\N
2062128	a711a4b45c0e0571aa81f9df8aef273c7fe28cb2455dd645c5d14804901e6465	2023-04-23 21:43:42	1264	1	4	892f2085	2062168	2062117	0	1	32	1057307176	399.5564	1057305911	399.5559	1265	0.0005	1000.79114	0.0004	0.097286945013889	0	[]	[]	[]	\N
